latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
30.963118,-82.901297,018,038,6014,6865,2026-07-27,1606,L9,high,D
30.962847,-82.901292,018,038,6014,6866,2026-07-27,1606,L9,high,D
30.962577,-82.901287,018,038,6014,6867,2026-07-27,1606,L9,high,D
30.962306,-82.901281,018,038,6014,6868,2026-07-27,1606,L9,high,D
30.966099,-82.901042,018,038,6015,6854,2026-07-27,1606,L9,high,D
30.965828,-82.901037,018,038,6015,6855,2026-07-27,1606,L9,high,D
30.965016,-82.901021,018,038,6015,6858,2026-07-27,1606,L9,low,D
30.964475,-82.90101,018,038,6015,6860,2026-07-27,1606,L9,low,D
30.963393,-82.900989,018,038,6015,6864,2026-07-27,1606,L9,low,D
30.962852,-82.900978,018,038,6015,6866,2026-07-27,1606,L9,high,D
30.962581,-82.900973,018,038,6015,6867,2026-07-27,1606,L9,high,D
30.962311,-82.900967,018,038,6015,6868,2026-07-27,1606,L9,high,D
30.962586,-82.900659,018,038,6016,6867,2026-07-27,1606,L9,low,D
30.962591,-82.900345,018,038,6017,6867,2026-07-27,1606,L9,low,D
30.962609,-82.899089,018,038,6021,6867,2026-07-27,1606,L9,high,D
30.962623,-82.898147,018,038,6024,6867,2026-07-27,1606,L9,high,D
30.962628,-82.897833,018,038,6025,6867,2026-07-27,1606,L9,low,D
31.539996,-82.888252,018,038,6092,4734,2026-07-27,1606,L9,high,D
31.539725,-82.888247,018,038,6092,4735,2026-07-27,1606,L9,high,D
31.49323,-82.866468,018,038,6158,4908,2026-07-27,1606,L9,high,D
31.492959,-82.866463,018,038,6158,4909,2026-07-27,1606,L9,high,D
31.553802,-82.850925,018,038,6211,4685,2026-07-27,1606,L9,low,D
31.553531,-82.850919,018,038,6211,4686,2026-07-27,1606,L9,high,D
31.553806,-82.850609,018,038,6212,4685,2026-07-27,1606,L9,high,D
31.553536,-82.850603,018,038,6212,4686,2026-07-27,1606,L9,high,D
31.552183,-82.850577,018,038,6212,4691,2026-07-27,1606,L9,low,D
31.553811,-82.850293,018,038,6213,4685,2026-07-27,1606,L9,high,D
31.55354,-82.850287,018,038,6213,4686,2026-07-27,1606,L9,high,D
31.552458,-82.850266,018,038,6213,4690,2026-07-27,1606,L9,high,D
31.552188,-82.850261,018,038,6213,4691,2026-07-27,1606,L9,high,D
31.553815,-82.849977,018,038,6214,4685,2026-07-27,1606,L9,high,D
31.553545,-82.849972,018,038,6214,4686,2026-07-27,1606,L9,high,D
31.552192,-82.849945,018,038,6214,4691,2026-07-27,1606,L9,high,D
31.55382,-82.849661,018,038,6215,4685,2026-07-27,1606,L9,high,D
31.553549,-82.849656,018,038,6215,4686,2026-07-27,1606,L9,high,D
31.552738,-82.84964,018,038,6215,4689,2026-07-27,1606,L9,high,D
31.552467,-82.849634,018,038,6215,4690,2026-07-27,1606,L9,high,D
31.552197,-82.849629,018,038,6215,4691,2026-07-27,1606,L9,high,D
31.556264,-82.849077,018,038,6217,4676,2026-07-27,1606,L9,low,D
31.555993,-82.849072,018,038,6217,4677,2026-07-27,1606,L9,low,D
31.555452,-82.849061,018,038,6217,4679,2026-07-27,1606,L9,low,D
31.556268,-82.848761,018,038,6218,4676,2026-07-27,1606,L9,high,D
31.555998,-82.848756,018,038,6218,4677,2026-07-27,1606,L9,high,D
31.555727,-82.848751,018,038,6218,4678,2026-07-27,1606,L9,low,D
31.555457,-82.848745,018,038,6218,4679,2026-07-27,1606,L9,high,D
31.556273,-82.848445,018,038,6219,4676,2026-07-27,1606,L9,low,D
31.556277,-82.848129,018,038,6220,4676,2026-07-27,1606,L9,low,D
31.555195,-82.848108,018,038,6220,4680,2026-07-27,1606,L9,high,D
31.556282,-82.847813,018,038,6221,4676,2026-07-27,1606,L9,high,D
31.556012,-82.847808,018,038,6221,4677,2026-07-27,1606,L9,high,D
31.5552,-82.847792,018,038,6221,4680,2026-07-27,1606,L9,low,D
31.554929,-82.847787,018,038,6221,4681,2026-07-27,1606,L9,high,D
31.554659,-82.847781,018,038,6221,4682,2026-07-27,1606,L9,high,D
31.556287,-82.847497,018,038,6222,4676,2026-07-27,1606,L9,high,D
31.555746,-82.847487,018,038,6222,4678,2026-07-27,1606,L9,low,D
31.555475,-82.847481,018,038,6222,4679,2026-07-27,1606,L9,high,D
31.554934,-82.847471,018,038,6222,4681,2026-07-27,1606,L9,low,D
31.554663,-82.847465,018,038,6222,4682,2026-07-27,1606,L9,high,D
31.556025,-82.84686,018,038,6224,4677,2026-07-27,1606,L9,high,D
31.555755,-82.846855,018,038,6224,4678,2026-07-27,1606,L9,low,D
31.55603,-82.846544,018,038,6225,4677,2026-07-27,1606,L9,high,D
31.555759,-82.846539,018,038,6225,4678,2026-07-27,1606,L9,low,D
31.554948,-82.846523,018,038,6225,4681,2026-07-27,1606,L9,low,D
31.554677,-82.846518,018,038,6225,4682,2026-07-27,1606,L9,high,D
31.555498,-82.845902,018,038,6227,4679,2026-07-27,1606,L9,high,D
31.555227,-82.845896,018,038,6227,4680,2026-07-27,1606,L9,high,D
31.554957,-82.845891,018,038,6227,4681,2026-07-27,1606,L9,high,D
31.554961,-82.845575,018,038,6228,4681,2026-07-27,1606,L9,low,D
31.556048,-82.845281,018,038,6229,4677,2026-07-27,1606,L9,high,D
31.555778,-82.845275,018,038,6229,4678,2026-07-27,1606,L9,high,D
31.54469,-82.844741,018,038,6230,4719,2026-07-27,1606,L9,low,D
31.54442,-82.844736,018,038,6230,4720,2026-07-27,1606,L9,medium,D
31.555516,-82.844638,018,038,6231,4679,2026-07-27,1606,L9,high,D
31.555246,-82.844633,018,038,6231,4680,2026-07-27,1606,L9,low,D
31.544695,-82.844425,018,038,6231,4719,2026-07-27,1606,L9,low,D
31.4077,-82.830065,018,038,6268,5226,2026-07-27,1606,L9,high,D
31.407705,-82.82975,018,038,6269,5226,2026-07-27,1606,L9,low,D
31.507858,-82.827908,018,038,6281,4856,2026-07-27,1606,L9,high,D
31.507588,-82.827903,018,038,6281,4857,2026-07-27,1606,L9,high,D
31.507317,-82.827898,018,038,6281,4858,2026-07-27,1606,L9,high,D
31.507592,-82.827587,018,038,6282,4857,2026-07-27,1606,L9,high,D
31.506781,-82.827571,018,038,6282,4860,2026-07-27,1606,L9,high,D
31.50651,-82.827566,018,038,6282,4861,2026-07-27,1606,L9,high,D
31.507867,-82.827277,018,038,6283,4856,2026-07-27,1606,L9,medium,D
31.507597,-82.827271,018,038,6283,4857,2026-07-27,1606,L9,high,D
31.506785,-82.827256,018,038,6283,4860,2026-07-27,1606,L9,low,D
31.506515,-82.82725,018,038,6283,4861,2026-07-27,1606,L9,high,D
31.968084,-82.832845,018,038,6294,3155,2026-07-27,1606,L9,high,D
31.269865,-82.798097,018,038,6361,5737,2026-07-27,1606,L9,high,D
31.269595,-82.798092,018,038,6361,5738,2026-07-27,1606,L9,high,D
31.26987,-82.797782,018,038,6362,5737,2026-07-27,1606,L9,high,D
31.761636,-82.754649,018,038,6528,3922,2026-07-27,1606,L9,high,D
31.761366,-82.754644,018,038,6528,3923,2026-07-27,1606,L9,high,D
31.761095,-82.754639,018,038,6528,3924,2026-07-27,1606,L9,high,D
31.761911,-82.754338,018,038,6529,3921,2026-07-27,1606,L9,high,D
31.76164,-82.754333,018,038,6529,3922,2026-07-27,1606,L9,high,D
31.76137,-82.754327,018,038,6529,3923,2026-07-27,1606,L9,high,D
31.761099,-82.754322,018,038,6529,3924,2026-07-27,1606,L9,high,D
31.762186,-82.754026,018,038,6530,3920,2026-07-27,1606,L9,high,D
31.761915,-82.754021,018,038,6530,3921,2026-07-27,1606,L9,high,D
31.761645,-82.754016,018,038,6530,3922,2026-07-27,1606,L9,high,D
31.761374,-82.754011,018,038,6530,3923,2026-07-27,1606,L9,high,D
31.761104,-82.754006,018,038,6530,3924,2026-07-27,1606,L9,high,D
31.76192,-82.753704,018,038,6531,3921,2026-07-27,1606,L9,high,D
31.761649,-82.753699,018,038,6531,3922,2026-07-27,1606,L9,high,D
31.761379,-82.753694,018,038,6531,3923,2026-07-27,1606,L9,high,D
31.761108,-82.753689,018,038,6531,3924,2026-07-27,1606,L9,high,D
31.760838,-82.753684,018,038,6531,3925,2026-07-27,1606,L9,high,D
31.762195,-82.753393,018,038,6532,3920,2026-07-27,1606,L9,low,D
31.761924,-82.753388,018,038,6532,3921,2026-07-27,1606,L9,high,D
31.761112,-82.753372,018,038,6532,3924,2026-07-27,1606,L9,high,D
31.760842,-82.753367,018,038,6532,3925,2026-07-27,1606,L9,high,D
31.762199,-82.753076,018,038,6533,3920,2026-07-27,1606,L9,high,D
31.761928,-82.753071,018,038,6533,3921,2026-07-27,1606,L9,high,D
31.761117,-82.753056,018,038,6533,3924,2026-07-27,1606,L9,high,D
31.760846,-82.753051,018,038,6533,3925,2026-07-27,1606,L9,high,D
31.762203,-82.75276,018,038,6534,3920,2026-07-27,1606,L9,high,D
31.761933,-82.752754,018,038,6534,3921,2026-07-27,1606,L9,high,D
31.761121,-82.752739,018,038,6534,3924,2026-07-27,1606,L9,low,D
31.447536,-82.688159,018,038,6720,5086,2026-07-27,1606,L9,high,D
31.641666,-82.680903,018,038,6754,4369,2026-07-27,1606,L9,high,D
31.641395,-82.680898,018,038,6754,4370,2026-07-27,1606,L9,high,D
31.916457,-82.565638,018,038,7133,3359,2026-07-27,1606,L9,low,D
31.916461,-82.565321,018,038,7134,3359,2026-07-27,1606,L9,low,D
32.288238,-82.546192,018,038,7214,1986,2026-07-27,1606,L9,medium,D
32.287968,-82.546187,018,038,7214,1987,2026-07-27,1606,L9,medium,D
32.287697,-82.546183,018,038,7214,1988,2026-07-27,1606,L9,high,D
32.287426,-82.546178,018,038,7214,1989,2026-07-27,1606,L9,high,D
32.28743,-82.54586,018,038,7215,1989,2026-07-27,1606,L9,medium,D
32.287705,-82.545546,018,038,7216,1988,2026-07-27,1606,L9,high,D
32.287434,-82.545541,018,038,7216,1989,2026-07-27,1606,L9,medium,D
32.287709,-82.545227,018,038,7217,1988,2026-07-27,1606,L9,high,D
32.287438,-82.545223,018,038,7217,1989,2026-07-27,1606,L9,high,D
32.287713,-82.544909,018,038,7218,1988,2026-07-27,1606,L9,high,D
32.011333,-82.507541,018,038,7321,3011,2026-07-27,1606,L9,low,D
32.011063,-82.507536,018,038,7321,3012,2026-07-27,1606,L9,low,D
32.011337,-82.507223,018,038,7322,3011,2026-07-27,1606,L9,low,D
32.011067,-82.507219,018,038,7322,3012,2026-07-27,1606,L9,high,D
32.011341,-82.506906,018,038,7323,3011,2026-07-27,1606,L9,high,D
32.011345,-82.506588,018,038,7324,3011,2026-07-27,1606,L9,high,D
32.011074,-82.506584,018,038,7324,3012,2026-07-27,1606,L9,high,D
32.011348,-82.50627,018,038,7325,3011,2026-07-27,1606,L9,low,D
32.011078,-82.506266,018,038,7325,3012,2026-07-27,1606,L9,high,D
32.011352,-82.505953,018,038,7326,3011,2026-07-27,1606,L9,high,D
32.011082,-82.505948,018,038,7326,3012,2026-07-27,1606,L9,high,D
32.011356,-82.505635,018,038,7327,3011,2026-07-27,1606,L9,high,D
32.011085,-82.505631,018,038,7327,3012,2026-07-27,1606,L9,high,D
32.01163,-82.505322,018,038,7328,3010,2026-07-27,1606,L9,high,D
32.01136,-82.505318,018,038,7328,3011,2026-07-27,1606,L9,high,D
32.011089,-82.505313,018,038,7328,3012,2026-07-27,1606,L9,high,D
32.011634,-82.505005,018,038,7329,3010,2026-07-27,1606,L9,high,D
32.011363,-82.505,018,038,7329,3011,2026-07-27,1606,L9,low,D
32.258653,-82.46289,018,038,7474,2099,2026-07-27,1606,L9,high,D
32.258382,-82.462886,018,038,7474,2100,2026-07-27,1606,L9,low,D
32.258656,-82.462572,018,038,7475,2099,2026-07-27,1606,L9,high,D
32.268349,-82.443299,018,038,7536,2064,2026-07-27,1606,L9,high,D
32.268079,-82.443295,018,038,7536,2065,2026-07-27,1606,L9,high,D
32.268353,-82.442981,018,038,7537,2064,2026-07-27,1606,L9,high,D
32.268082,-82.442976,018,038,7537,2065,2026-07-27,1606,L9,high,D
32.268627,-82.442667,018,038,7538,2063,2026-07-27,1606,L9,high,D
32.268356,-82.442662,018,038,7538,2064,2026-07-27,1606,L9,high,D
32.268086,-82.442658,018,038,7538,2065,2026-07-27,1606,L9,high,D
32.267815,-82.442654,018,038,7538,2066,2026-07-27,1606,L9,high,D
32.267545,-82.442649,018,038,7538,2067,2026-07-27,1606,L9,high,D
32.268631,-82.442348,018,038,7539,2063,2026-07-27,1606,L9,high,D
32.26836,-82.442344,018,038,7539,2064,2026-07-27,1606,L9,high,D
32.26809,-82.44234,018,038,7539,2065,2026-07-27,1606,L9,high,D
32.268634,-82.44203,018,038,7540,2063,2026-07-27,1606,L9,high,D
32.268364,-82.442025,018,038,7540,2064,2026-07-27,1606,L9,high,D
36.03349,-83.434407,018,035,736,3907,2026-07-27,1605,L9,high,D
36.297535,-83.036727,018,035,1951,2958,2026-07-27,1605,L9,high,D
36.255369,-83.035632,018,035,1951,3114,2026-07-27,1605,L9,low,D
35.5867,-83.013596,018,035,1966,5588,2026-07-27,1605,L9,high,D
35.58643,-83.013589,018,035,1966,5589,2026-07-27,1605,L9,medium,D
36.245973,-82.604722,018,035,3241,3173,2026-07-27,1605,L9,high,D
35.614517,-82.429711,018,035,3731,5516,2026-07-27,1605,L9,high,D
35.614246,-82.429706,018,035,3731,5517,2026-07-27,1605,L9,high,D
35.614521,-82.42938,018,035,3732,5516,2026-07-27,1605,L9,high,D
35.61425,-82.429375,018,035,3732,5517,2026-07-27,1605,L9,low,D
35.36542,-82.358604,018,035,3933,6440,2026-07-27,1605,L9,high,D
35.365423,-82.358273,018,035,3934,6440,2026-07-27,1605,L9,high,D
35.365153,-82.358269,018,035,3934,6441,2026-07-27,1605,L9,high,D
35.634796,-82.033488,018,035,4928,5456,2026-07-27,1605,L9,high,D
35.634526,-82.033484,018,035,4928,5457,2026-07-27,1605,L9,high,D
35.999783,-82.01959,018,035,4984,4107,2026-07-27,1605,L9,high,D
35.929483,-82.017024,018,035,4989,4367,2026-07-27,1605,L9,low,D
35.929213,-82.017021,018,035,4989,4368,2026-07-27,1605,L9,low,D
36.292774,-81.834296,018,035,5550,3029,2026-07-27,1605,L9,high,D
36.292503,-81.834293,018,035,5550,3030,2026-07-27,1605,L9,high,D
36.292776,-81.833962,018,035,5551,3029,2026-07-27,1605,L9,high,D
36.292506,-81.833959,018,035,5551,3030,2026-07-27,1605,L9,high,D
36.292235,-81.833956,018,035,5551,3031,2026-07-27,1605,L9,low,D
36.311705,-81.794731,018,035,5669,2960,2026-07-27,1605,L9,low,D
35.667398,-81.715704,018,035,5888,5344,2026-07-27,1605,L9,high,D
35.667128,-81.715701,018,035,5888,5345,2026-07-27,1605,L9,high,D
35.773221,-81.705034,018,035,5923,4953,2026-07-27,1605,L9,low,D
35.77295,-81.705032,018,035,5923,4954,2026-07-27,1605,L9,high,D
35.772952,-81.7047,018,035,5924,4954,2026-07-27,1605,L9,high,D
36.266289,-81.705098,018,035,5936,3130,2026-07-27,1605,L9,medium,D
35.335995,-81.626942,018,035,6148,6571,2026-07-27,1605,L9,high,D
35.335725,-81.62694,018,035,6148,6572,2026-07-27,1605,L9,high,D
43.179443,-80.196822,018,030,3713,3922,2026-07-27,1603,L9,low,D
43.295552,-80.049211,018,030,4108,3488,2026-07-27,1603,L9,low,D
44.001065,-79.951952,018,030,4338,873,2026-07-27,1603,L9,low,D
44.001062,-79.951578,018,030,4339,873,2026-07-27,1603,L9,high,D
43.277538,-79.825808,018,030,4713,3547,2026-07-27,1603,L9,medium,D
43.277531,-79.825068,018,030,4715,3547,2026-07-27,1603,L9,medium,D
43.277527,-79.824699,018,030,4716,3547,2026-07-27,1603,L9,high,D
43.266806,-79.806792,018,030,4765,3586,2026-07-27,1603,L9,medium,D
43.262203,-79.805773,018,030,4768,3603,2026-07-27,1603,L9,medium,D
43.266243,-79.804585,018,030,4771,3588,2026-07-27,1603,L9,medium,D
43.265973,-79.80459,018,030,4771,3589,2026-07-27,1603,L9,medium,D
43.274048,-79.801844,018,030,4778,3559,2026-07-27,1603,L9,medium,D
43.595898,-79.690294,018,030,5061,2363,2026-07-27,1603,L9,high,D
43.701796,-79.667886,018,030,5115,1970,2026-07-27,1603,L9,medium,D
42.197415,-79.62909,018,030,5310,7537,2026-07-27,1603,L9,high,D
43.609855,-79.506718,018,030,5554,2303,2026-07-27,1603,L9,high,D
43.865834,-79.499968,018,030,5555,1355,2026-07-27,1603,L9,low,D
43.865564,-79.499974,018,030,5555,1356,2026-07-27,1603,L9,low,D
43.60985,-79.506346,018,030,5555,2303,2026-07-27,1603,L9,high,D
43.192634,-79.495887,018,030,5611,3847,2026-07-27,1603,L9,high,D
43.814815,-79.461705,018,030,5661,1542,2026-07-27,1603,L9,high,D
42.94417,-79.420686,018,030,5832,4763,2026-07-27,1603,L9,high,D
43.721799,-79.376564,018,030,5896,1882,2026-07-27,1603,L9,high,D
43.06324,-79.377473,018,030,5941,4320,2026-07-27,1603,L9,low,D
43.112164,-79.233486,018,030,6328,4131,2026-07-27,1603,L9,low,D
43.181208,-79.226328,018,030,6342,3875,2026-07-27,1603,L9,high,D
43.121757,-79.173468,018,030,6490,4092,2026-07-27,1603,L9,high,D
43.122021,-79.173091,018,030,6491,4091,2026-07-27,1603,L9,low,D
43.113204,-79.080066,018,030,6744,4118,2026-07-27,1603,L9,high,D
